user_input,bot_response
what are the symptoms of high blood pressure,"High blood pressure may cause headaches, dizziness, and chest pain."
what are the benefits of exercise,"Regular exercise improves cardiovascular health, boosts mood, and enhances overall fitness."
what is a balanced diet,"A balanced diet includes proteins, carbohydrates, fats, vitamins, and minerals in appropriate proportions."

# Entertainment & Fun
who is the best football player,"The best football player is subjective, but legends like Lionel Messi and Cristiano Ronaldo are widely regarded as top players."
who is the best cricketer,"Cricket legends like Sachin Tendulkar, Virat Kohli, and MS Dhoni are among the greatest cricketers."
what is the highest-grossing movie,"As of now, 'Avatar' and 'Avengers: Endgame' are among the highest-grossing movies."
who is the richest person in the world,"The richest person frequently changes, but Elon Musk, Jeff Bezos, and Bernard Arnault have been among the top."
who is the fastest man in the world,"Usain Bolt holds the record for the fastest 100m sprint."
what is the best Netflix series,"Popular Netflix series include 'Stranger Things,' 'Money Heist,' and 'Breaking Bad.'"
what is the best-selling book,"The Bible is the best-selling book of all time, followed by 'Harry Potter' and 'Don Quixote.'"
who is the king of pop,"Michael Jackson is known as the King of Pop."
who is the queen of England,"As of the latest update, Queen Elizabeth II was the reigning Queen of England."
who is the prime minister of the UK,"The Prime Minister of the UK frequently changes, please check the latest updates online."

# Motivational & Self-Improvement

how to be successful,"Success requires hard work, consistency, learning from failures, and setting clear goals."
how to stay motivated,"Stay motivated by setting small goals, rewarding yourself, and surrounding yourself with positive influences."
how to overcome failure,"Learn from mistakes, stay resilient, and keep trying with a positive mindset."
how to develop self-discipline,"Self-discipline comes with practice, setting clear goals, and avoiding distractions."
what is the secret to happiness,"Happiness comes from gratitude, meaningful relationships, and personal growth."
what is the key to success,"The key to success is persistence, continuous learning, and adaptability."
how to become rich,"Building wealth requires smart investments, financial literacy, and disciplined savings."
how to stop procrastinating,"Break tasks into smaller steps, set deadlines, and eliminate distractions to stop procrastinating."
how to build confidence,"Confidence comes from practice, self-belief, and stepping out of your comfort zone."
what are the habits of successful people,"Successful people wake up early, set goals, read books, and stay disciplined."

